ime,category
treason,treachery
eyetooth,canine
"Scorzonera hispanica","black salsify"
sledding,going
"figure of eight","figure eight"
"press cutting",clipping
sonority,plangency
"defence system","defense system"
serenade,divertimento
"Negro spiritual",spiritual
"Senecio bigelovii","nodding groundsel"
"liquid measure","liquid unit"
times,multiplication
timer,timekeeper
helix,coil
mimosa,"silver wattle"
"twist wood","wayfaring tree"
slater,woodlouse
consumption,"pulmonary tuberculosis"
"brain doctor",neurologist
"sour cherry tree","sour cherry"
"projection screen",screen
coagulation,curdling
copulation,"sexual intercourse"
dozens,tons
bye-election,by-election
"silver grey","ash grey"
"kidney wort","coyote brush"
flagstaff,flagpole
"elephant's ear",alocasia
"elephant's ear",conacaste
"self-evident truth","basic assumption"
criminalisation,criminalization
"notebook computer",notebook
"Pomoxis annularis","white crappie"
"vena cephalica","cephalic vein"
quietness,tranquillity
agrimony,agrimonia
"praying mantid","praying mantis"
insurgence,insurgency
"tummy crunch","stomach exercise"
"skene arch","skeen arch"
"stimulus generalisation",generalization
helot,serf
glade,clearing
olefin,alkene
locoism,"loco disease"
"jumper lead","jumper cable"
generousness,generosity
rascal,rogue
rascal,imp
multifariousness,diverseness
yachting,boating
lowness,"low status"
lowness,downheartedness
"binder board","binder's board"
naumachia,naumachy
"principal diagonal","main diagonal"
"English walnut tree","English walnut"
"systems program","system program"
"shelf fungus","bracket fungus"
hadrosaurus,hadrosaur
"prosodic system","accentual system"
"choice of words",wording
"pica em",em
copulative,copula
"Chinese date",jujube
red-header,redhead
"January 1","New Year's Day"
"Leptodactylus pentadactylus",crapaud
"motion study","time and motion study"
achromasia,lividness
helve,haft
denturist,"dental technician"
"prison farm","work camp"
assailant,attacker
throwback,atavist
throwback,atavism
"wine cellar",cellar
"cylinder press","flatbed press"
"bitter orange","sour orange"
gangrene,necrosis
"mercy killing",euthanasia
sexiness,amorousness
"college girl",co-ed
"rock band","rock group"
scallywag,scalawag
scallywag,rogue
scallywag,imp
humidness,humidity
"Japanese ivy","Boston ivy"
"Acer negundo Californicum","California box elder"
mastocyte,"mast cell"
"Vireo solitarius solitarius","blue-headed vireo"
"word processing system","word processor"
crookback,humpback
educationalist,educationist
graduation,commencement
graduation,gradation
gelidity,chill
"Macaca mulatta",rhesus
metabolism,metamorphosis
mujahideen,mujahidin
tilth,"cultivated land"
sinoper,sinopis
"absinthe oil","wormwood oil"
"index number",index
"Lonicera albiflora","white honeysuckle"
stroller,saunterer
stroller,"baby buggy"
ploughboy,plowboy
shoebird,shoebill
"rock bass","rock sea bass"
toadshade,"red trillium"
"bacillary white diarrhea","pullorum disease"
"plough horse","plow horse"
quayage,wharfage
"school-age child",schoolchild
sinopia,sinopis
walking,walk
co-defendant,codefendant
haemophile,hemophiliac
"Jerusalem cricket","sand cricket"
tchotchke,chachka
helper,assistant
helper,benefactor
accompaniment,complement
accompaniment,escort
torrent,downpour
torrent,flood
"coaching job",coaching
borscht,borsch
"Lord's table",altar
undergrowth,underbrush
"stunt pilot",barnstormer
"false saffron",safflower
"Zalophus californianus","California sea lion"
"Rana catesbeiana",bullfrog
culture,acculturation
culture,polish
puffiness,swelling
puffiness,ostentation
"great black-backed gull","black-backed gull"
"conditional reaction","conditional reflex"
"Monilia albicans","Candida albicans"
"tannic acid",tannin
hallmark,authentication
"low water","low tide"
scudding,scud
"fire company","fire brigade"
"selector switch",selector
jerkiness,fitfulness
"vena appendicularis","appendicular vein"
"Abronia maritima","beach pancake"
"food market","grocery store"
sciara,"fungus gnat"
"Prunus cerasus caproniana",amarelle
paediatrician,"baby doctor"
nemertean,"ribbon worm"
"straight arch","flat arch"
flummery,mummery
superordinate,superior
superordinate,hypernym
"Leydig's cell","Leydig cell"
"Circaea alpina","Alpine enchanter's nightshade"
"Scotch thistle","cotton thistle"
"civil law","Roman law"
dependance,addiction
dependance,dependence
glass,"field glass"
glass,"looking glass"
sequenator,sequencer
"vena diploica","diploic vein"
"rain gage","rain gauge"
goof-off,goldbrick
glare,limelight
gleefulness,hilarity
hindlimb,"hind limb"
"table napkin",napkin
speechmaking,"public speaking"
"latency phase","latency stage"
"multiple fruit","aggregate fruit"
rapidness,celerity
colligation,junction
"Auricularia auricula",Jew's-ear
"man of deeds","man of action"
"commencement ceremony",commencement
"current account","checking account"
flasher,exhibitionist
flasher,blinker
"ground level",grade
"ground level","ground floor"
"electrostatic precipitator",precipitator
councilorship,councillorship
"tail coat","dress suit"
"Osmanthus americanus",devilwood
"vena tibialis","tibial vein"
"white horehound","common horehound"
"silent person",dummy
palaeencephalon,paleencephalon
wrench,twist
"proboscis worm","ribbon worm"
"packet boat",mailboat
"Zinnia grandiflora","little golden zinnia"
eager,"tidal bore"
script,handwriting
conjunctive,conjunction
"military commission",commission
superciliousness,condescension
pugnacity,aggressiveness
"meadow leek","Canada garlic"
numbfish,"electric ray"
organization,arrangement
organization,administration
organization,constitution
"mail boat",mailboat
"water gage","water gauge"
"European honeysuckle","European fly honeysuckle"
"plexus pulmonalis","pulmonary plexis"
"theatrical poster","show bill"
exoderm,ectoderm
monkeypod,"rain tree"
halter,"hangman's rope"
combine,trust
combine,combining
"dwarf mulberry",cloudberry
"Myotis velifer","cave myotis"
nutritiveness,nutritiousness
stripes,chevron
striper,"striped bass"
"fighting cock",gamecock
rucksack,backpack
"miliary fever","sweating sickness"
deliciousness,delectability
"nuclear chemistry",radiochemistry
scratchiness,harshness
"reclining chair",recliner
"Sarcocephalus diderrichii",opepe
combing,comb
guessing,guess
"porkpie hat",porkpie
hock-joint,hock
"Pernis apivorus","honey buzzard"
"OTC market","over-the-counter market"
"pole jump","pole vault"
"Populus heterophylla","swamp cottonwood"
drubbing,thrashing
drubbing,beating
densitometer,densimeter
treater,negotiator
"kafir corn","great millet"
